dealname,lead_owner,support_owner,broad_category_updated,subcategory,fund,createdate,recommendation
Peraton - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.627Z,"['Cybersecurity', 'Enterprise Analytics Software', 'Industrial Automation & Analytics']"
Taubman Centers - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.627Z,"['Real Estate Technology', 'Retail Analytics', 'Commercial Property Management']"
Euro Capital Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.627Z,"['Critical Technologies', 'Equity Investment', 'Technology Advisory']"
collierfamilyoffice.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.627Z,"['Critical Technologies', 'Equity Investments', 'Family Office']"
smithmcclure.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.629Z,"['Critical Technologies', 'Equity Investment', 'Tech Partnerships']"
Harrison Street - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.634Z,"['Critical Infrastructure', 'Equity Investment', 'Technology Equity']"
XLIX Ventures - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.635Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Broad foundation - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.640Z,"['Equity Funding', 'Technological Investments', 'Critical Technologies']"
ACI Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.640Z,"['Critical Technologies', 'Equity Investments', 'Tech Funding']"
LUMA Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.641Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.645Z,"['Quantum Computing', 'Cybersecurity', 'Enterprise Analytics Software']"
StandardAero - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.645Z,"['Aerospace Technology', 'Critical Infrastructure', 'Aviation Maintenance']"
bripartners.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.647Z,"['Equity Investment', 'Critical Technologies', 'Tech Partnerships']"
Benaroya - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.649Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Klingenstein Fields Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.669Z,"['Critical Technologies', 'Equity Investments', 'Financial Advisory']"
silkroadtech.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.711Z,"['Quantum Computing', 'Cybersecurity', 'Enterprise Analytics Software']"
RayLign - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.712Z,"['Advanced Imaging Technology', 'Photonics', 'Critical Infrastructure Monitoring']"
2nd Generation Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.712Z,"['Cybersecurity', 'Enterprise Analytics Software', 'Industrial Automation & Analytics']"
Moore Europe - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.713Z,"['Critical Technologies', 'Equity Investments', 'European Market']"
Gates Capital Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.715Z,"['Critical Infrastructure', 'Advanced Defense Technologies', 'Cybersecurity']"
Waterline - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.715Z,"['Water & Waste', 'Smart Building / Infrastructure', 'Grid / Building Monitoring & Analytics']"
Baroda Ventures - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T21:10:05.945Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
deScrapped,Wilson Poole,Jenna Abelli,Manufacturing,Materials Manufacturing Platform,Fund III,2024-07-26T04:39:26.031Z,"['Recycling Technology', 'Sustainable Manufacturing', 'Advanced Materials']"
Captivate Technology (Jul 2024),Henk Both,,Energy & Clean Technology,Carbon capture & Recycling,Fund III,2024-07-26T13:55:30.570Z,"['Solid-state adsorbents', 'Carbon capture technologies', 'CO2 sequestration']"
Lightsphere Technologies (Jul 2024),Whitney Haring-Smith,,Life Sciences & Healthcare,Diagnostics,Fund III,2024-07-26T14:18:10.960Z,"['Cancer Detection and Treatment', 'Medical Imaging', 'Drug Delivery Systems']"
MN Dutch Pension - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,SPV,2024-07-26T14:22:46.589Z,"['Energy Storage Solutions', 'Pension Fund Investments', 'SPV Management']"
Jasper Ridge Partners - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,SPV,2024-07-26T14:25:25.799Z,"['Energy Storage Solutions', 'Battery Technology', 'Clean Energy Systems']"
IH International Advisors Ltd - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,SPV,2024-07-26T14:40:25.075Z,"['Energy Storage & Batteries', 'Smart Building / Infrastructure', 'Grid / Building Monitoring & Analytics']"
Norinchukin Zenkyoren Asset Management Co. - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,SPV,2024-07-26T14:42:21.580Z,"['Energy Storage & Batteries', 'Alternative Fuel', 'Smart Building / Infrastructure']"
Hamilton Lane - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,SPV,2024-07-26T14:44:25.526Z,"['Investment Management', 'Special Purpose Vehicles (SPV)', 'Financial Services']"
LGT Group Foundation - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,SPV,2024-07-26T14:52:01.099Z,"['Energy Storage Solutions', 'Clean Energy Investments', 'Sustainable Technology']"
Ampega Investment - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,SPV,2024-07-26T14:53:33.285Z,"['Energy Storage Solutions', 'Renewable Energy Investments', 'Sustainable Infrastructure']"
HarbourVest - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,SPV,2024-07-26T14:55:31.247Z,"['Energy Storage Solutions', 'Battery Technology', 'Energy Infrastructure']"
Schroder Capital - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,SPV,2024-07-26T14:57:06.672Z,"['Energy Storage Solutions', 'Battery Technology', 'Clean Energy Investment']"
Capital Dynamics - EnCharge 2024 SPV,David Michael,Ittie Rehani,Energy & Clean Technology,Energy Storage & Batteries,SPV,2024-07-26T15:04:15.324Z,"['Energy Storage & Batteries', 'Alternative Fuel (Hydrogen, Biofuel, etc.)', 'Grid / Building Monitoring & Analytics']"
Northland Capital Markets - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,SPV,2024-07-26T15:30:06.734Z,"['Energy Storage Solutions', 'Renewable Energy Financing', 'Clean Technology Investments']"
Acorma - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,SPV,2024-07-26T15:39:56.622Z,"['Battery Technology', 'Energy Storage Solutions', 'Renewable Energy Systems']"
Bain Capital - NATLF,David Michael,,,,NATLF,2024-07-26T15:54:38.034Z,"['Investment Strategy', 'Capital Management', 'Financial Consulting']"
Access Venture Partners - New Deal,Nick Fisher,,,,Fund I,2024-07-26T16:26:53.121Z,"['Venture Capital', 'Investment Opportunities', 'Funding Rounds']"
HerEquity - EnCharge 2024 SPV,Whitney Haring-Smith,Ittie Rehani,,,SPV,2024-07-26T16:31:14.790Z,"['Venture Capital', 'Investment Fund', 'Special Purpose Vehicle']"
Crosslink Capital - BioFlyte,Nick Fisher,,,,Fund I,2024-07-26T16:32:43.934Z,"['Biosecurity', 'Biodefense', 'Pathogen Detection']"
HerEquity - NATLF,Whitney Haring-Smith,Ittie Rehani,,,NATLF,2024-07-26T16:38:23.490Z,"['Financial Technology', 'Investment Platforms', 'Women-Led Ventures']"
Teledyne Technologies - BioFlyte,Nick Fisher,,,,Fund I,2024-07-26T16:39:06.370Z,"['Biotechnology', 'Environmental Monitoring', 'Critical Technologies']"
Rapiscan Systems Inc - BioFlyte,Nick Fisher,,,,Fund I,2024-07-26T17:05:15.407Z,"['Biodefense Technology', 'Biosurveillance Systems', 'Security Screening Solutions']"
Smiths Group plc - Bioflyte,Nick Fisher,,,,Fund I,2024-07-26T17:05:55.118Z,"['Bioprocessing', 'Biomaterials', 'Diagnostics']"
bergcap.co - BioFlyte,Nick Fisher,,,,Fund I,2024-07-26T17:07:11.031Z,"['Biodefense Technology', 'Environmental Monitoring', 'Pathogen Detection']"
Franklin Templeton - BioFlyte,Nick Fisher,,,,Fund I,2024-07-26T17:08:42.590Z,"['Biodefense Technology', 'Biosecurity Solutions', 'Environmental Monitoring']"
Daanaa (Jul 2024),Wilson Poole,Henk Both,Electronics,Electronic Equipment & Instrumentation - General,Fund III,2024-07-26T17:08:56.755Z,"['Power Electronics', 'Semiconductor Technology', 'Renewable Energy Integration']"
Franklin Templeton - 6K,Nick Fisher,,,,Fund I,2024-07-26T17:09:32.165Z,"['Financial Services Technology', 'Investment Management Software', 'Capital Markets Solutions']"
Chumash Capital Investments LLC - BioFlyte,Nick Fisher,,,,Fund I,2024-07-26T17:11:04.021Z,"['Biodefense Technology', 'Biosecurity Solutions', 'Pathogen Detection Systems']"
Marlinspike Capital - BioFlyte,Nick Fisher,,,,Fund I,2024-07-26T17:12:16.384Z,"['Biodefense', 'Biosensors', 'Pathogen Detection']"
General Advance - BioFlyte,Nick Fisher,,,,Fund I,2024-07-26T17:12:58.437Z,"['Biosecurity', 'Environmental Monitoring', 'Pathogen Detection']"
Quiet Capital - BioFlyte,Nick Fisher,,,,Fund I,2024-07-26T17:14:06.711Z,"['Biosecurity', 'Environmental Monitoring', 'Pathogen Detection']"
Outlander VC - BioFlyte,Nick Fisher,,,,Fund I,2024-07-26T17:14:50.056Z,"['Biodefense Technology', 'Environmental Monitoring', 'Pathogen Detection Systems']"
Moonshots Capital - BioFlyte,Nick Fisher,,,,Fund I,2024-07-26T17:17:14.716Z,"['Biosecurity', 'Biodefense', 'Pathogen Detection']"
Lobby Capital - BioFlyte,Nick Fisher,,,,Fund I,2024-07-26T17:20:10.765Z,"['Biosecurity', 'Environmental Monitoring', 'Biodefense']"
Rohit Bhag - NATLF,David Michael,Ittie Rehani,,,NATLF,2024-07-26T17:22:41.669Z,"['Biotechnology', 'Industrial Technology', 'Healthcare Technology']"
Kevin Johnson - NATLF,Whitney Haring-Smith,Ittie Rehani,,,NATLF,2024-07-26T17:26:40.826Z,"['Industrial Sensors', 'Electronic Equipment & Instrumentation - General', 'Robotics']"
Kevin Johnson - EnCharge 2024 SPV,Whitney Haring-Smith,Ittie Rehani,,,SPV,2024-07-26T17:28:26.893Z,"['Energy Storage Solutions', 'Renewable Energy Technologies', 'Battery Management Systems']"
Mickey Mixson - EnCharge 2024 SPV,Henk Both,Ittie Rehani,,,SPV,2024-07-26T17:36:38.574Z,"['Energy Storage Solutions', 'Battery Technology', 'Energy Management Systems']"
Evanston Capital Management LLC - NATLF,Whitney Haring-Smith,,,,NATLF,2024-07-26T17:42:46.759Z,"['Financial Technology', 'Investment Management', 'Capital Markets']"
Rohit Bhagat - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,SPV,2024-07-26T19:04:24.623Z,"['Battery Technology', 'Energy Storage Solutions', 'Renewable Energy Systems']"
